source_file,folder_path,crawl_date,crawl_time,city,forecast_date,forecast_time,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
hourly_data 2025-09-01 11:47:51.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,11:47,Kanpur,2025-09-01,14:30:00,28.73,32.15,28.7,28.73,1001,70,4.72,175,100,Rain,light rain,0.95,1.53
hourly_data 2025-08-31 07:50:15.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,07:50,Agra,2025-08-31,11:30:00,31.26,36.22,31.26,33.87,1004,63,3.57,158,100,Rain,light rain,0.96,0.33
hourly_data 2025-09-05 01:01:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,01:01,Indore,2025-09-05,08:30:00,23.82,24.74,23.82,24.38,1004,95,3.51,295,100,Rain,light rain,0.96,0.53
hourly_data 2025-09-05 01:01:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,01:01,Surat,2025-09-05,02:30:00,25.12,26.09,25.12,25.12,1003,92,4.23,273,100,Rain,light rain,0.35,0.15
hourly_data 2025-08-30 07:14:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-30,07:14,Nagpur,2025-08-30,08:30:00,25.29,26.28,25.29,25.29,1006,92,2.27,175,100,Rain,light rain,0.25,0.1
hourly_data 2025-09-05 01:01:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,01:01,Bhopal,2025-09-05,02:30:00,23.55,24.52,23.55,24.09,1002,98,2.79,212,100,Rain,light rain,0.31,0.11
hourly_data 2025-08-30 07:14:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-30,07:14,Patna,2025-08-30,11:30:00,31.33,36.67,31.33,34.2,1007,64,3.86,123,100,Rain,light rain,0.94,0.12
hourly_data 2025-08-31 07:50:15.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,07:50,Indore,2025-08-31,11:30:00,24.39,25.29,24.39,25.85,1007,92,6,262,100,Rain,light rain,0.75,0.74
hourly_data 2025-09-05 01:01:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,01:01,Hyderabad,2025-09-05,02:30:00,24.21,24.93,23.14,24.21,1007,86,5.25,264,100,Rain,light rain,0.2,0.14
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Hyderabad,2025-09-01,14:30:00,27.45,29.75,27.45,29.27,1005,71,7.12,281,100,Rain,light rain,0.2,0.15
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Bhopal,2025-09-01,08:30:00,23.97,24.82,23.97,23.97,1005,92,3.52,261,100,Rain,light rain,0.21,0.11
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Bhopal,2025-09-01,11:30:00,24.26,25.12,24.26,24.85,1005,91,5.66,268,100,Rain,light rain,0.99,1.35
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Vadodara,2025-09-01,08:30:00,27.26,30.33,27.26,27.26,1005,80,3.93,238,100,Rain,light rain,0.46,0.38
hourly_data 2025-09-01 07:50:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:49,Delhi,2025-09-01,08:30:00,24.89,25.81,24.89,24.89,1001,91,4.53,107,100,Rain,light rain,0.85,0.42
